season,celebrity_name,results,placement,week,judge_total,has_score,eliminated_week_actual,celebrity_key,fan_vote_est,judge_norm,fan_norm,w_judge,w_fan,combined_score,combined_rank,rank_volatility,adjusted_score,adjusted_rank
1,Evander Holyfield,Eliminated Week 3,5,1,18.0,True,3.0,evander holyfield,437.6686049,0.7142857142856123,0.0,0.4004562655618865,0.5995437344381135,0.28604018968702094,6,0.0,0.28604018968702094,1931
1,Evander Holyfield,Eliminated Week 3,5,2,14.0,True,3.0,evander holyfield,1472.444758,0.0,0.34446819582408295,0.4138098769993847,0.5861901230006152,0.2019238540799192,5,0.7071067811865476,0.18071065064432276,2187
1,Evander Holyfield,Eliminated Week 3,5,3,13.0,True,3.0,evander holyfield,1098.728724,0.0,0.005457822460040371,0.3535987083036856,0.6464012916963144,0.003527943488019252,5,0.5773502691896257,-0.013792564587669517,2638
1,Joey McIntyre,3rd Place,3,1,20.0,True,,joey mcintyre,1061.152375,0.9999999999998571,0.2998757609893072,0.4004562655618865,0.5995437344381135,0.5802448991728296,3,0.0,0.5802448991728296,1168
1,Joey McIntyre,3rd Place,3,2,21.0,True,,joey mcintyre,1080.101582,0.5833333333332847,0.1334159521890741,0.4138098769993847,0.5861901230006152,0.31959620834024516,4,0.7071067811865476,0.29838300490464875,1899
1,Joey McIntyre,3rd Place,3,3,22.0,True,,joey mcintyre,1087.675007,0.692307692307639,0.0,0.3535987083036856,0.6464012916963144,0.24479910574868657,4,0.5773502691896258,0.2274785976729978,2058
1,Joey McIntyre,3rd Place,3,4,20.0,True,,joey mcintyre,2640.182676,0.0,0.9999999999999974,0.3535987083036856,0.6464012916963144,0.6464012916963128,2,0.9574271077563381,0.6176784784636227,1060
1,Joey McIntyre,3rd Place,3,5,22.5,True,,joey mcintyre,2255.099974,0.0,0.0,0.3535987083036856,0.6464012916963144,0.0,3,0.9574271077563381,-0.02872281323269014,2706
1,John O'Hurley,2nd Place,2,1,20.0,True,,john ohurley,2516.808873,0.9999999999998571,0.9999999999999996,0.4004562655618865,0.5995437344381135,0.9999999999999425,1,0.0,0.9999999999999425,55
1,John O'Hurley,2nd Place,2,2,26.0,True,,john ohurley,1453.377377,0.9999999999999166,0.334211324323676,0.4138098769993847,0.5861901230006152,0.6097212543128443,3,1.4142135623730951,0.5672948474416515,1200
