Field,Missing_Count,Missing_Rate
week11_judge4_score,2586,93.12207418077062
week1_judge4_score,2211,79.61829312207418
week2_judge4_score,2184,78.64602088584803
week10_judge4_score,2126,76.557436082103
week8_judge4_score,2022,72.81238746849118
week5_judge4_score,1944,70.00360100828232
week3_judge4_score,1939,69.82355059416636
week11_judge2_score,1897,68.31112711559236
week11_judge1_score,1897,68.31112711559236
week11_judge3_score,1897,68.31112711559236
week4_judge4_score,1891,68.09506661865322
week9_judge4_score,1833,66.00648181490817
week7_judge4_score,1776,63.95390709398632
week6_judge4_score,1742,62.72956427799784
celebrity_homestate,375,13.503781058696434
week10_judge3_score,264,9.50666186532229
week10_judge2_score,264,9.50666186532229
week10_judge1_score,264,9.50666186532229
week1_judge3_score,106,3.8170687792581925
week9_judge2_score,105,3.7810586964350015
week9_judge1_score,105,3.7810586964350015
week9_judge3_score,105,3.7810586964350015
week7_judge2_score,53,1.9085343896290963
week7_judge3_score,53,1.9085343896290963
week7_judge1_score,53,1.9085343896290963
week8_judge3_score,53,1.9085343896290963
week8_judge2_score,53,1.9085343896290963
week8_judge1_score,53,1.9085343896290963
week6_judge2_score,27,0.9722722362261434
week5_judge3_score,27,0.9722722362261434
week6_judge1_score,27,0.9722722362261434
week6_judge3_score,27,0.9722722362261434
week5_judge1_score,27,0.9722722362261434
week5_judge2_score,27,0.9722722362261434
week3_judge2_score,0,0.0
week3_judge1_score,0,0.0
week2_judge3_score,0,0.0
week3_judge3_score,0,0.0
eliminated,0,0.0
ballroom_partner,0,0.0
celebrity_industry,0,0.0
week,0,0.0
fan_vote_est,0,0.0
celebrity,0,0.0
season,0,0.0
week2_judge1_score,0,0.0
week2_judge2_score,0,0.0
week1_judge2_score,0,0.0
week1_judge1_score,0,0.0
celebrity_age_during_season,0,0.0
celebrity_homecountry/region,0,0.0
results,0,0.0
placement,0,0.0
judges_score,0,0.0
week4_judge1_score,0,0.0
week4_judge2_score,0,0.0
week4_judge3_score,0,0.0
